time, A, V, D
1238815,0.01999998,-43.899998,-127363.766
1238830,0.10048,-42.9964,-128058.94
1238847,0.14876801,-40.877792,-128771.87
1238865,0.16999996,-38.27247,-129444.64
1238881,0.15847996,-35.64463,-130072.94
1238898,0.16356796,-32.907223,-130655.625
1238915,0.13999999,-30.326895,-131193.11
1238930,0.07000005,-28.503534,-131604.92
1238946,0.0,-27.943535,-132084.72
1238964,-0.19,-27.943535,-132559.77
1238981,-0.26999998,-31.235695,-133062.78
1238998,-0.31,-35.743855,-133632.11
1239014,-0.32952002,-40.860016,-134283.25
1239032,-0.39999998,-46.731407,-135027.78
1239049,-0.43,-53.255566,-135877.67
1239075,-0.44,-64.14957,-137403.94
1239080,-0.44352,-66.35837,-137795.47
1239098,-0.37,-73.71216,-138986.06
1239115,-0.30952,-79.488075,-140364.86
1239131,-0.20523202,-83.606094,-141669.61
1239147,0.100000024,-85.04272,-142850.16
1239164,0.26,-83.11912,-144279.53
1239182,0.41999996,-78.25304,-145812.56
1239198,0.46047997,-71.2092,-147082.98
1239215,0.38,-64.06322,-148165.16
1239231,0.34047997,-58.299377,-149205.23
1239248,0.292768,-52.91677,-150150.58
1239265,0.22014081,-48.557045,-151013.11
1239282,0.10856448,-45.76305,-151814.83
1239297,0.0,-44.94882,-152495.17
1239316,-0.25,-45.82874,-153266.78
1239331,-0.31,-49.493378,-154029.36
1239347,-0.36,-54.31978,-154859.86
1239364,-0.36,-60.10794,-155832.5
1239381,-0.35552,-66.18986,-156969.19
1239397,-0.36083204,-71.92068,-158074.08
1239414,-0.35201922,-77.97991,-159348.23
1239429,-0.31873155,-83.010544,-160555.66
1239448,-0.23875895,-88.3067,-162183.17
1239464,0.0,-91.22821,-163529.69
1239476,0.0,-91.22821,-164715.66
1239497,0.22000003,-91.22821,-166449.0
1239514,0.24448001,-87.28013,-168144.83
1239532,0.33000004,-82.82912,-169590.75
1239547,0.30248,-78.08552,-170878.06
1239564,0.25796804,-73.32171,-172165.03
1239582,0.110000014,-69.435265,-173378.47
1239598,0.00999999,-68.66527,-174414.22
1239615,-0.06999999,-68.59027,-175580.89
1239630,0.0,-69.11527,-176751.39
1239649,0.0,-69.11527,-178064.58
1239664,0.0,-69.11527,-179101.31
1239681,-0.10752,-70.02919,-180284.05
1239697,-0.19203201,-72.425606,-181423.69
1239713,-0.23473921,-75.839775,-182609.81
1239730,-0.24036354,-79.87815,-183933.42
1239747,-0.22773813,-83.85702,-185325.17
1239763,-0.2081629,-87.34422,-186694.78
1239781,-0.17241776,-90.76945,-188297.8
1239797,-0.12297067,-93.13255,-189769.02
1239813,0.0,-94.11632,-191267.0
1239832,0.0,-94.11632,-193055.2
1239847,0.124480024,-93.18272,-194459.95
